id,bmcu_code,bmcu_name,district,state,is_active
1,3001,Penumuru,,	Andhra Pradesh,t
2,3002,Pakala,,	Andhra Pradesh,t
3,3003,Damalacheruvu,,Andhra Pradesh,t
280,3004,Y S Gate,,	Andhra Pradesh,t
281,3005,Komireddygari Palli,,	Andhra Pradesh,t
282,3006,Polireddipalli,,	Andhra Pradesh,t
283,3007,Polakala,,	Andhra Pradesh,t
284,3010,Yerpedu,,	Andhra Pradesh,t
285,3011,Varadaiahpalem,,	Andhra Pradesh,t
286,3013,B N Khandriga,,	Andhra Pradesh,t
287,3014,Thottambedu,,	Andhra Pradesh,t
288,3015,Pichatur,,	Andhra Pradesh,t
289,3016,Nagalapuram,,	Andhra Pradesh,t
290,3017,K V B Puram,,	Andhra Pradesh,t
291,3018,Satyavedu,,	Andhra Pradesh,t
292,3019,Pannuru,,	Andhra Pradesh,t
293,3020,Putturu CC,,	Andhra Pradesh,t
294,3021,Chandragiri CC,,	Andhra Pradesh,t
392,3022,Vedurukuppam,,	Andhra Pradesh,t
427,3023,Rangampeta Cross,,	Andhra Pradesh,t
295,3101,Kumaravadi,,Tamil Nadu,t
296,3102,Thammanuru,,	Tamil Nadu,t
398,3103,Konaluru,,	Tamil Nadu,t
393,3104,Karapattu,,	Tamil Nadu,t
394,3105,Vanapuram,,	Tamil Nadu,t
395,3106,Vandavasi,,	Tamil Nadu,t
396,3107,Devanur,,	Tamil Nadu,t
406,3108,Sankaranarayanapuram(SN Puram),,	Tamil Nadu,t
397,3109,Mandakolathur,,	Tamil Nadu,t
405,3110,Kankanur,,	Tamil Nadu,t
408,3112,Harur,,	Tamil Nadu,t
407,3113,CR Palyam,,	Tamil Nadu,t
431,3114,Rayakottai,,Tamil Nadu,t
413,3116,LN Puram,,	Tamil Nadu,t
430,3117,Aavalurpet,,Tamil Nadu,t
425,3118,Gollamangalam,,Tamil Nadu,t
423,3119,K Echambadi,,Tamil Nadu,t
445,3122,Naikenkottai,Dharmapuri,Tamil Nadu,t
424,3123,Alamelupuram,,Tamil Nadu,t
297,3201,Mellacheruv,,Andhra Pradesh,t
298,3202,Y V Pallm,,Andhra Pradesh,t
412,3203,Talapula(Piler),,Andhra Pradesh,t
299,3204,Bakarapeta,,Andhra Pradesh,t
300,3205,C.G.Gallu,,Andhra Pradesh,t
301,3206,Bodevandlapalli,,Andhra Pradesh,t
302,3207,Karvetinagaram,,Andhra Pradesh,t
303,3208,S R Puram,,Andhra Pradesh,t
304,3209,Kothapallimitta,,Andhra Pradesh,t
305,3210,Kollagunta,,,f
306,3211,Kondakinda Pali,,Andhra Pradesh,t
307,3212,M.Kothuru,,Andhra Pradesh,t
308,3213,Narayanavanam,,Andhra Pradesh,t
309,3215,Yadamari,,Andhra Pradesh,t
310,3217,K Patnam,,Andhra Pradesh,t
311,3218,Maddipatlapalli,,,f
