loading_id,execution_id,trip_plan_id,trip_no,tanker_number,seq_no,bmcu_code,bmcu_name,milk_date,shift,qty_litres,qty_kgs,fat_pct,snf_pct,kg_fat,kg_snf,description,chamber,rmrd_qty,is_deleted
5072,1267,2221,1,TN28AR1990,1,3648,Mohamadabad/MB Cross,2026-08-01,,6154.00,6329.3890,4.100,8.100,259.5049,512.6805,RMRD,"FC,BC",0.00,f
5073,1267,2221,1,TN28AR1990,2,3646,Moram Pali,2026-08-01,,4260.00,4381.4100,4.000,8.080,175.2564,354.0179,RMRD,"FC,BC",0.00,f
5074,1267,2221,1,TN28AR1990,3,3653,Mamillapalli,2026-08-01,,8267.00,8502.6095,4.100,8.220,348.6070,698.9145,RMRD,BC,0.00,f
5075,1268,2222,2,AP07TF2421,1,3613,P T M,2026-08-01,,1378.00,1417.2730,4.000,8.200,56.6909,116.2164,RMRD,BC,0.00,f
5076,1268,2222,2,AP07TF2421,2,3610,B Kothakota,2026-08-01,,2964.00,3048.4740,4.000,8.200,121.9390,249.9749,RMRD,BC,0.00,f
5077,1268,2222,2,AP07TF2421,3,3612,Poojavari Palli,2026-08-01,,872.50,897.3662,4.000,8.330,35.8947,74.7506,RMRD,FC,0.00,f
5078,1268,2222,2,AP07TF2421,4,3609,Kurabala Kota,2026-08-01,,3309.00,3403.3065,3.900,8.050,132.7290,273.9662,RMRD,BC,0.00,f
5079,1268,2222,2,AP07TF2421,5,3602,Tharigonda,2026-08-01,,1484.00,1526.2940,3.900,8.180,59.5255,124.8508,RMRD,FC,0.00,f
5080,1268,2222,2,AP07TF2421,6,3651,CTM CC,2026-08-01,,6783.40,6976.7269,3.700,8.010,258.1389,558.8358,RMRD,"FC,BC",0.00,f
5081,1269,2223,3,AP03TF2538,1,3637,Nimmanna Palli,2026-08-01,,4048.00,4163.3680,3.800,8.160,158.2080,339.7308,RMRD,BC,0.00,f
5082,1269,2223,3,AP03TF2538,2,3603,Vayalpadu,2026-08-01,,3246.00,3338.5110,3.900,8.180,130.2019,273.0902,RMRD,"FC,BC",0.00,f
5083,1269,2223,3,AP03TF2538,3,3601,Chinthaparthi,2026-08-01,,4285.00,4407.1225,3.800,8.160,167.4707,359.6212,RMRD,FC,0.00,f
5084,1269,2223,3,AP03TF2538,4,3607,Manchuru,2026-08-01,,2207.00,2269.8995,4.000,8.200,90.7960,186.1318,RMRD,BC,0.00,f
5085,1269,2223,3,AP03TF2538,5,3616,Kalikiri,2026-08-01,,6737.00,6929.0045,3.800,8.160,263.3022,565.4068,RMRD,"FC,MC",0.00,f
5086,1270,2224,4,AP03TA8424,1,3619,Garnimitta,2026-08-01,,2287.00,2352.1795,3.900,8.180,91.7350,192.4083,RMRD,"FC,MC",0.00,f
5087,1270,2224,4,AP03TA8424,2,3622,Gyarampalli,2026-08-01,,3218.00,3309.7130,3.900,8.180,129.0788,270.7345,RMRD,"FC,BC",0.00,f
5088,1270,2224,4,AP03TA8424,3,3617,Kalakada,2026-08-01,,3278.00,3371.4230,3.900,8.100,131.4855,273.0853,RMRD,FC,0.00,f
5089,1270,2224,4,AP03TA8424,4,3618,Gadi,2026-08-01,,3016.00,3101.9560,3.900,8.050,120.9763,249.7075,RMRD,BC,0.00,f
5090,1270,2224,4,AP03TA8424,5,3623,Yallam Palli,2026-08-01,,1920.00,1974.7200,3.800,8.030,75.0394,158.5700,RMRD,FC,0.00,f
5091,1270,2224,4,AP03TA8424,6,3621,Regallu,2026-08-01,,2878.00,2960.0230,3.800,8.030,112.4809,237.6898,RMRD,BC,0.00,f
5092,1270,2224,4,AP03TA8424,7,3620,Piler,2026-08-01,,6092.00,6265.6220,3.800,8.160,238.0936,511.2748,RMRD,"MC,BC",0.00,f
5093,1271,2225,5,AP39TB8024,1,3628,Diguva Thotluvari Palli,2026-08-01,,3897.00,4008.0645,3.800,3.800,152.3065,152.3065,RMRD,"FC,BC",0.00,f
5094,1271,2225,5,AP39TB8024,2,3624,Thamballapalle,2026-08-01,,5307.00,5458.2495,4.000,8.130,218.3300,443.7557,RMRD,FC,0.00,f
5095,1271,2225,5,AP39TB8024,3,3627,Mudivedu,2026-08-01,,3897.00,4008.0645,3.800,8.160,152.3065,327.0581,RMRD,BC,0.00,f
5096,1271,2225,5,AP39TB8024,4,3625,Reddi Kota,2026-08-01,,3825.00,3934.0125,3.700,8.010,145.5585,315.1144,RMRD,BC,0.00,f
5097,1272,2226,6,TN13H2455,1,3227,Pincha,2026-08-01,,4047.30,4162.6481,3.600,7.990,149.8553,332.5956,RMRD,"FC,BC",0.00,f
5098,1272,2226,6,TN13H2455,2,3201,Mellacheruv,2026-08-01,,4360.00,4484.2600,3.700,8.010,165.9176,359.1892,RMRD,BC,0.00,f
5099,1272,2226,6,TN13H2455,3,3203,Talapula(Piler),2026-08-01,,3433.40,3531.2519,3.700,8.010,130.6563,282.8533,RMRD,FC,0.00,f
5100,1272,2226,6,TN13H2455,4,3206,Bodevandlapalli,2026-08-01,,3995.00,4108.8575,3.800,8.030,156.1366,329.9413,RMRD,"FC,BC",0.00,f
5101,1272,2226,6,TN13H2455,5,3204,Bakarapeta,2026-08-01,,3489.00,3588.4365,3.800,8.160,136.3606,292.8164,RMRD,BC,0.00,f
5102,1273,2227,7,AP04TW4458,1,3205,C.G.Gallu,2026-08-01,,3232.00,3324.1120,3.900,8.180,129.6404,271.9124,RMRD,FC,0.00,f
5103,1273,2227,7,AP04TW4458,2,3202,Y V Pallm,2026-08-01,,8376.00,8614.7160,3.600,8.120,310.1298,699.5149,RMRD,"FC,BC",0.00,f
5104,1273,2227,7,AP04TW4458,3,3228,Udaymanikyam CC,2026-08-01,,8549.00,8792.6465,3.800,8.160,334.1206,717.4800,RMRD,BC,0.00,f
5105,1274,2228,8,AP07TN0549,1,3224,Palasamudram,2026-08-01,,7079.00,7280.7515,4.100,8.220,298.5108,598.4778,RMRD,FC,0.00,f
5106,1274,2228,8,AP07TN0549,2,3223,Thugundram,2026-08-01,,4853.00,4991.3105,4.100,8.350,204.6437,416.7744,RMRD,"FC,BC",0.00,f
5107,1274,2228,8,AP07TN0549,3,3222,G D Nellore,2026-08-01,,7749.00,7969.8465,4.000,8.200,318.7939,653.5274,RMRD,BC,0.00,f
5108,1275,2231,9,TN25BB1990,1,3207,Karvetinagaram,2026-08-01,,3232.00,3324.1120,4.100,8.220,136.2886,273.2420,RMRD,BC,0.00,f
5109,1275,2231,9,TN25BB1990,2,3213,Narayanavanam,2026-08-01,,1996.00,2052.8860,4.100,8.220,84.1683,168.7472,RMRD,MC,0.00,f
5110,1275,2231,9,TN25BB1990,3,3019,Pannuru,2026-08-01,,1825.30,1877.3210,3.900,8.080,73.2155,151.6875,RMRD,"FC,MC",0.00,f
5111,1275,2231,9,TN25BB1990,4,3212,M.Kothuru,2026-08-01,,3849.20,3958.9022,3.900,8.180,154.3972,323.8382,RMRD,"MC,BC",0.00,f
5112,1275,2231,9,TN25BB1990,5,3208,S R Puram,2026-08-01,,3346.80,3442.1838,3.900,8.180,134.2452,281.5706,RMRD,FC,0.00,f
5113,1276,2232,10,AP07TJ2180,1,3022,Vedurukuppam,2026-08-01,,3206.00,3297.3710,3.900,8.180,128.5975,269.7249,RMRD,BC,0.00,f
