receipt_id,execution_id,trip_plan_id,trip_no,tanker_number,delivery_point,ack_date,chamber,qty_litres,qty_kgs,fat_pct,snf_pct,kg_fat,kg_snf,temperature,description
3680,1267,2221,1,TN28AR1990,Balaji Dairy,2026-08-03,BC,10199.32,10490.0006,4.120,8.180,432.1880,858.0821,,
3678,1267,2221,1,TN28AR1990,Balaji Dairy,2026-08-03,FC,8536.70,8779.9960,4.060,8.150,356.4678,715.5697,,
3679,1267,2221,1,TN28AR1990,Balaji Dairy,2026-08-03,MC,,,,,,,,
3650,1268,2222,2,AP07TF2421,Balaji Dairy,2026-08-03,BC,10072.92,10359.9982,3.970,8.180,411.2919,847.4479,,
3648,1268,2222,2,AP07TF2421,Balaji Dairy,2026-08-03,FC,6533.79,6720.0030,3.730,8.190,250.6561,550.3682,,
3649,1268,2222,2,AP07TF2421,Balaji Dairy,2026-08-03,MC,,,,,,,,
3728,1269,2223,3,AP03TF2538,Balaji Dairy,2026-08-03,BC,8721.44,8970.0010,3.870,8.200,347.1390,735.5401,,
3726,1269,2223,3,AP03TF2538,Balaji Dairy,2026-08-03,FC,7243.56,7450.0015,3.840,8.120,286.0801,604.9401,,
3727,1269,2223,3,AP03TF2538,Balaji Dairy,2026-08-03,MC,4385.03,4510.0034,3.740,8.190,168.6741,369.3693,,
3761,1270,2224,4,AP03TA8424,Balaji Dairy,2026-08-03,BC,7593.58,7809.9970,3.920,8.180,306.1519,638.8578,,
3759,1270,2224,4,AP03TA8424,Balaji Dairy,2026-08-03,FC,7661.64,7879.9967,3.800,8.100,299.4399,638.2797,,
3760,1270,2224,4,AP03TA8424,Balaji Dairy,2026-08-03,MC,7224.11,7429.9971,3.780,8.150,280.8539,605.5448,,
5001,1271,2225,5,AP39TB8024,Balaji Dairy,2026-08-03,BC,9382.60,9650.0041,3.770,8.160,363.8052,787.4403,,
5002,1271,2225,5,AP39TB8024,Balaji Dairy,2026-08-03,FC,7457.46,7669.9976,3.960,8.150,303.7319,625.1048,,
5003,1271,2225,5,AP39TB8024,Balaji Dairy,2026-08-03,MC,,,,,,,,
3731,1272,2226,6,TN13H2455,Balaji Dairy,2026-08-03,BC,9975.69,10259.9972,3.880,8.060,398.0879,826.9558,,
3729,1272,2226,6,TN13H2455,Balaji Dairy,2026-08-03,FC,9372.87,9639.9968,3.670,8.020,353.7879,773.1277,,
3730,1272,2226,6,TN13H2455,Balaji Dairy,2026-08-03,MC,,,,,,,,
3689,1273,2227,7,AP04TW4458,Balaji Dairy,2026-08-03,BC,11229.95,11550.0036,3.780,8.160,436.5901,942.4803,,
3687,1273,2227,7,AP04TW4458,Balaji Dairy,2026-08-03,FC,8789.50,9040.0008,3.740,8.140,338.0960,735.8561,,
3688,1273,2227,7,AP04TW4458,Balaji Dairy,2026-08-03,MC,,,,,,,,
3722,1274,2228,8,AP07TN0549,Balaji Dairy,2026-08-03,BC,10004.86,10289.9985,4.070,8.320,418.8029,856.1279,,
3720,1274,2228,8,AP07TN0549,Balaji Dairy,2026-08-03,FC,9664.56,9940.0000,4.080,8.380,405.5520,832.9720,,
3721,1274,2228,8,AP07TN0549,Balaji Dairy,2026-08-03,MC,,,,,,,,
3725,1275,2231,9,TN25BB1990,Balaji Dairy,2026-08-03,BC,5114.24,5259.9958,3.980,8.280,209.3478,435.5277,,
3723,1275,2231,9,TN25BB1990,Balaji Dairy,2026-08-03,FC,5046.18,5189.9961,3.880,8.120,201.3718,421.4277,,
3724,1275,2231,9,TN25BB1990,Balaji Dairy,2026-08-03,MC,4005.83,4119.9962,3.980,8.120,163.9758,334.5437,,
3719,1276,2232,10,AP07TJ2180,Balaji Dairy,2026-08-03,BC,8400.58,8639.9965,3.950,8.290,341.2799,716.2557,,
3717,1276,2232,10,AP07TJ2180,Balaji Dairy,2026-08-03,FC,8011.67,8240.0026,3.970,8.340,327.1281,687.2162,,
3718,1276,2232,10,AP07TJ2180,Balaji Dairy,2026-08-03,MC,,,,,,,,
3734,1277,2233,11,AP03TE5050,Balaji Dairy,2026-08-03,BC,12046.67,12390.0001,3.980,8.180,493.1220,1013.5020,,
3732,1277,2233,11,AP03TE5050,Balaji Dairy,2026-08-03,FC,10257.66,10550.0033,4.010,8.340,423.0551,879.8703,,
3733,1277,2233,11,AP03TE5050,Balaji Dairy,2026-08-03,MC,,,,,,,,
3713,1278,2234,12,TN28BB2353,S K A Dairy,2026-08-03,BC,10218.77,10510.0049,3.800,8.160,399.3802,857.6164,5,
3711,1278,2234,12,TN28BB2353,S K A Dairy,2026-08-03,FC,8079.73,8310.0023,3.800,8.160,315.7801,678.0962,5,
3712,1278,2234,12,TN28BB2353,S K A Dairy,2026-08-03,MC,,,,,,,,
3656,1279,2236,13,AP39WE8054,Balaji Dairy,2026-08-03,BC,7758.87,7979.9978,3.950,8.370,315.2099,667.9258,,
3654,1279,2236,13,AP39WE8054,Balaji Dairy,2026-08-03,FC,9197.86,9459.9990,3.950,8.290,373.6700,784.2339,,
3655,1279,2236,13,AP39WE8054,Balaji Dairy,2026-08-03,MC,,,,,,,,
3737,1280,2237,14,AP31TF6368,Balaji Dairy,2026-08-03,BC,7078.27,7280.0007,3.880,8.240,282.4640,599.8721,,
3735,1280,2237,14,AP31TF6368,Balaji Dairy,2026-08-03,FC,7146.33,7350.0004,4.160,8.320,305.7600,611.5200,,
3736,1280,2237,14,AP31TF6368,Balaji Dairy,2026-08-03,MC,6494.90,6680.0047,4.020,8.300,268.5362,554.4404,,
3683,1281,2238,15,TN52H5484,Balaji Dairy,2026-08-03,BC,9927.08,10210.0018,3.930,8.310,401.2531,848.4511,,
3681,1281,2238,15,TN52H5484,Balaji Dairy,2026-08-03,FC,7700.53,7919.9951,3.980,8.360,315.2158,662.1116,,
3682,1281,2238,15,TN52H5484,Balaji Dairy,2026-08-03,MC,,,,,,,,
3764,1283,2239,16,TN24AB6599,Balaji Dairy,2026-08-03,BC,5007.29,5149.9978,6.100,8.740,314.1499,450.1098,,
3762,1283,2239,16,TN24AB6599,Balaji Dairy,2026-08-03,FC,4666.99,4799.9992,4.500,8.120,216.0000,389.7599,,
3763,1283,2239,16,TN24AB6599,Balaji Dairy,2026-08-03,MC,,,,,,,,
3740,1282,2240,17,TN34AC5878,Balaji Dairy,2026-08-03,BC,2877.98,2960.0024,7.300,8.720,216.0802,258.1122,,
3738,1282,2240,17,TN34AC5878,Balaji Dairy,2026-08-03,FC,3432.18,3529.9971,4.250,8.440,150.0249,297.9318,,
3739,1282,2240,17,TN34AC5878,Balaji Dairy,2026-08-03,MC,,,,,,,,
3674,1284,2241,18,AP03TJ0088,S K A Dairy,2026-08-03,BC,8842.98,9095.0049,3.800,8.160,345.6102,742.1524,5,
3672,1284,2241,18,AP03TJ0088,S K A Dairy,2026-08-03,FC,5940.69,6109.9997,3.700,8.260,226.0700,504.6860,5,
3673,1284,2241,18,AP03TJ0088,S K A Dairy,2026-08-03,MC,7914.44,8140.0015,3.900,8.180,317.4601,665.8521,5,
3863,1286,2243,20,AP39WH0612,Balaji Dairy,2026-08-03,BC,7151.19,7354.9989,3.800,8.030,279.4900,590.6064,4.0,
3861,1286,2243,20,AP39WH0612,Balaji Dairy,2026-08-03,FC,9936.80,10219.9988,3.800,8.160,388.3600,833.9519,4.0,
3862,1286,2243,20,AP39WH0612,Balaji Dairy,2026-08-03,MC,3684.98,3790.0019,3.700,8.140,140.2301,308.5062,4.0,
4310,1288,2244,21,AP39UN4344,Bathalapalli ,2026-08-06,BC,8118.62,8350.0000,4.200,8.240,350.7000,688.0400,,
4308,1288,2244,21,AP39UN4344,Bathalapalli ,2026-08-06,FC,3023.82,3110.0000,5.700,8.560,177.2700,266.2160,,
4309,1288,2244,21,AP39UN4344,Bathalapalli ,2026-08-06,MC,,,,,,,,
3695,1289,2245,22,AP39TK3377,S K A Dairy,2026-08-03,BC,10568.79,10870.0005,4.100,8.350,445.6700,907.6450,5,
3693,1289,2245,22,AP39TK3377,S K A Dairy,2026-08-03,FC,7549.83,7765.0002,4.000,8.330,310.6000,646.8245,5,
3694,1289,2245,22,AP39TK3377,S K A Dairy,2026-08-03,MC,,,,,,,,
4995,1287,2246,23,TN28BA2919,S K A Dairy,2026-08-02,BC,10111.81,10399.9966,4.000,8.450,415.9999,878.7997,5,
4996,1287,2246,23,TN28BA2919,S K A Dairy,2026-08-02,FC,9591.64,9865.0017,4.100,8.350,404.4651,823.7276,5,
4997,1287,2246,23,TN28BA2919,S K A Dairy,2026-08-02,MC,,,,,,,,
3704,1300,2247,24,TN24AR2944,S K A Dairy,2026-08-03,BC,8935.34,9189.9972,3.700,8.010,340.0299,736.1188,5,
3702,1300,2247,24,TN24AR2944,S K A Dairy,2026-08-03,FC,8935.34,9189.9972,3.700,8.010,340.0299,736.1188,5,
3703,1300,2247,24,TN24AR2944,S K A Dairy,2026-08-03,MC,,,,,,,,
3581,1305,2248,25,AP03TC7799,S K A Dairy,2026-08-02,BC,,,,,,,,
3579,1305,2248,25,AP03TC7799,S K A Dairy,2026-08-02,FC,17865.82,18374.9959,4.000,8.330,734.9998,1530.6372,5,singal kata
3580,1305,2248,25,AP03TC7799,S K A Dairy,2026-08-02,MC,,,,,,,,
3572,1306,2249,26,TN863039,S K A Dairy,2026-08-02,BC,,,,,,,,
