id,tanker_number,compartments,capacity_litres,per_km_rate,is_active
92,AP02TC1483,3C,15000,0.00,t
87,AP03TA8424,3C,23000,0.00,t
79,AP03TC7799,2C,18000,0.00,t
147,AP03TE2079,2C,22000,0.00,t
85,AP03TE5050,2C,23000,0.00,t
94,AP03TE5533,2C,19000,0.00,t
83,AP03TE5699,2C,24000,0.00,t
82,AP03TE5888,2C,22000,0.00,t
86,AP03TE6599,3C,21000,0.00,t
138,AP03TE6660,2C,6000,0.00,t
90,AP03TE9069,2C,9000,0.00,t
93,AP03TE9419,3C,21000,0.00,t
91,AP03TE9599,2C,9000,0.00,t
1,AP03TF2538,3C,21000,47.00,t
81,AP03TJ0033,2C,22000,0.00,t
80,AP03TJ0088,3C,22000,0.00,t
69,AP03TK4629,3C,22000,0.00,t
63,AP04TW4458,2C,21000,0.00,t
64,AP07TF2421,2C,18000,0.00,t
134,AP07TG6656,2C,21000,0.00,f
108,AP07TJ2180,2C,18000,0.00,t
61,AP07TN0549,2C,20000,0.00,t
104,AP16TH5494,2C,20000,0.00,t
70,AP26TF3569,2C,30000,0.00,t
71,AP26TF4985,2C,22000,0.00,t
65,AP31TF6368,2C,22000,0.00,t
75,AP31TG3456,2C,20000,0.00,t
137,AP39TB8024,2 C,18000,0.00,t
62,AP39TD1229,2C,30000,0.00,t
72,AP39TF3392,2C,30000,0.00,t
84,AP39TK1777,2C,30000,0.00,t
74,AP39TK3377,2C,20000,0.00,t
110,AP39TP2777,2C,18000,0.00,f
118,AP39TT9977,2C,20000,0.00,t
89,AP39UE0787,3C,22000,0.00,t
128,AP39UN4344,2C,15000,0.00,f
88,AP39UP3214,2C,30000,0.00,t
96,AP39UX5014,2C,28000,0.00,t
103,AP39WB9499,2C,23000,0.00,t
109,AP39WE4161,2C,23000,0.00,t
107,AP39WE8054,2C,18000,0.00,t
101,AP39WH0612,2C,23000,0.00,t
113,AP39WH4424,2C,22000,0.00,f
115,AP39WM0723,2C,30000,0.00,t
121,AP39WS2354,2C,23000,0.00,f
146,DUMMY TANKER,3C,30000,0.00,f
106,KA01AF9484,2C,19000,0.00,f
73,KA13B0198,2C,15000,0.00,t
126,RJ32GB7005,2C,30000,0.00,t
145,SALE TANKER,3C,30000,0.00,t
130,TA10UB8643,2C,6000,0.00,f
131,TA10UC5693,2C,6000,0.00,f
142,TG12T3619,2C,6000,0.00,f
99,TG12T4949,2C,29000,0.00,t
124,TN13H2455,2C,20000,0.00,t
105,TN24AB6599,2C,15000,0.00,t
98,TN24AR2944,2C,20000,0.00,t
76,TN24BC6019,2C,23000,0.00,t
78,TN24BD4749,2C,24000,0.00,t
97,TN25BB1990,3C,15000,0.00,t
95,TN28AQ5726,2C,20000,0.00,t
119,TN28AR1990,2C,20000,0.00,t
127,TN28BA2919,2C,20000,0.00,t
120,TN28BB2353,2C,20000,0.00,t
135,TN28BF6792,2C,20000,0.00,f
111,TN28BZ3247,2C,20000,0.00,t
122,TN30CL2299,2C,30000,0.00,t
123,TN30CL2599,2C,30000,0.00,t
100,TN34AC5878,2C,9000,0.00,t
117,TN34AH5181,2C,20000,0.00,t
102,TN36AU2208,2C,20000,0.00,t
112,TN52H5484,2C,19000,0.00,t
141,TN52P3684,2C,20000,0.00,t
77,TN52Q9387,2C,22000,0.00,t
136,TN52S7499,2C,30000,0.00,t
114,TN76AL9919,2C,20000,0.00,t
66,TN863039,3C,20000,0.00,t
68,TN86A9787,2C,21000,0.00,t
67,TN86B1591,2C,22000,0.00,t
149,TN88C3427,2C,15000,0.00,t
144,TS04UB3131,2C,6000,0.00,f
139,TS07UL3304,2C,15000,38.90,t
140,TS08UB0037,2C,15000,0.00,t
129,TS08UE4919,2C,6000,0.00,f
148,TS08UF8732,2C,6000,0.00,f
152,TS08UG5859,2c,6000,0.00,t
132,TS09UC7313,2C,6000,0.00,f
116,TS107UK2499,2C,12000,0.00,f
150,TS10UB8643,2C,6000,0.00,t
133,TS12UE3499,3C,9000,0.00,f
